Vreme;IdZadatka;Segment;Algoritam;DuzinaPuta;PosecenihCvorova;VremeMs;Izabran;SirinaLavirinta;VisinaLavirinta;BrojAktivnihVozila;BrojAktivnihZadataka
2026-08-10 20:08:03;0;Vozilo->Klijent;BFS;5;15;0.0378;True;8;8;1;0
2026-08-10 20:08:03;0;Vozilo->Klijent;Dijkstra;5;12;1.9031;False;8;8;1;0
2026-08-10 20:08:03;0;Vozilo->Klijent;A*;5;6;0.7384;False;8;8;1;0
2026-08-10 20:08:03;0;Klijent->Odrediste;BFS;13;64;0.1921;True;8;8;1;0
2026-08-10 20:08:03;0;Klijent->Odrediste;Dijkstra;13;63;0.3226;False;8;8;1;0
2026-08-10 20:08:03;0;Klijent->Odrediste;A*;13;43;0.3035;False;8;8;1;0
2026-08-10 20:08:57;1;Vozilo->Klijent;BFS;12;60;0.1022;True;8;8;1;0
2026-08-10 20:08:57;1;Vozilo->Klijent;Dijkstra;12;54;32.0265;False;8;8;1;0
2026-08-10 20:08:57;1;Vozilo->Klijent;A*;12;39;0.1750;False;8;8;1;0
2026-08-10 20:08:57;1;Klijent->Odrediste;BFS;11;62;0.0984;False;8;8;1;0
2026-08-10 20:08:57;1;Klijent->Odrediste;Dijkstra;11;56;0.2372;False;8;8;1;0
2026-08-10 20:08:57;1;Klijent->Odrediste;A*;11;17;0.0563;True;8;8;1;0
2026-08-10 20:09:31;2;Vozilo->Klijent;BFS;7;31;0.0381;True;8;8;1;0
2026-08-10 20:09:31;2;Vozilo->Klijent;Dijkstra;7;25;0.1373;False;8;8;1;0
2026-08-10 20:09:31;2;Vozilo->Klijent;A*;7;15;0.0507;False;8;8;1;0
2026-08-10 20:09:31;2;Klijent->Odrediste;BFS;10;56;0.0745;True;8;8;1;0
2026-08-10 20:09:31;2;Klijent->Odrediste;Dijkstra;10;52;0.1864;False;8;8;1;0
2026-08-10 20:09:31;2;Klijent->Odrediste;A*;10;23;0.0890;False;8;8;1;0
2026-08-10 20:09:55;3;Vozilo->Klijent;BFS;12;49;0.0770;True;8;8;1;0
2026-08-10 20:09:55;3;Vozilo->Klijent;Dijkstra;12;44;0.1668;False;8;8;1;0
2026-08-10 20:09:55;3;Vozilo->Klijent;A*;12;27;0.1469;False;8;8;1;0
2026-08-10 20:09:55;3;Klijent->Odrediste;BFS;3;9;0.0114;False;8;8;1;0
2026-08-10 20:09:55;3;Klijent->Odrediste;Dijkstra;3;8;0.0210;False;8;8;1;0
2026-08-10 20:09:55;3;Klijent->Odrediste;A*;3;4;0.0107;True;8;8;1;0
2026-08-10 20:10:24;4;Vozilo->Klijent;BFS;10;50;0.1188;False;8;8;1;0
2026-08-10 20:10:24;4;Vozilo->Klijent;Dijkstra;10;43;0.1609;False;8;8;1;0
2026-08-10 20:10:24;4;Vozilo->Klijent;A*;10;24;0.0830;True;8;8;1;0
2026-08-10 20:10:24;4;Klijent->Odrediste;BFS;8;43;0.1001;False;8;8;1;0
2026-08-10 20:10:24;4;Klijent->Odrediste;Dijkstra;8;39;0.1390;False;8;8;1;0
2026-08-10 20:10:24;4;Klijent->Odrediste;A*;8;20;0.0825;True;8;8;1;0
2026-08-10 20:11:03;5;Vozilo->Klijent;BFS;8;39;0.0493;True;8;8;1;0
