Vreme;IdZadatka;IdKlijenta;IdVozila;Algoritam;PredjenaRazdaljina;CenaVoznje
2026-08-10 20:08:18;0;1;1;BFS / BFS;13.0;1040.00
2026-08-10 20:09:15;1;1;1;BFS / A*;11.0;880.00
2026-08-10 20:09:45;2;1;1;BFS / BFS;10.0;800.00
2026-08-10 20:10:07;3;1;1;BFS / A*;3.0;240.00
2026-08-10 20:10:38;4;1;1;A* / A*;8.0;640.00
2026-08-10 20:11:13;5;1;1;BFS / A*;5.0;400.00
2026-08-10 20:11:30;6;1;1;BFS / BFS;3.0;240.00
2026-08-10 20:11:55;7;1;1;BFS / A*;3.0;240.00
2026-08-10 20:12:28;8;1;1;A* / BFS;11.0;880.00
2026-08-10 20:12:48;9;1;1;BFS / BFS;6.0;480.00
2026-08-10 20:13:11;10;1;1;A* / A*;9.0;720.00
2026-08-10 20:14:09;11;1;1;BFS / BFS;4.0;320.00
2026-08-10 20:14:31;12;1;1;BFS / A*;8.0;640.00
2026-08-10 20:38:31;0;1;1;BFS / BFS;35.0;2800.00
2026-08-10 20:39:06;1;1;1;A* / BFS;14.0;1120.00
2026-08-10 20:40:27;2;1;1;BFS / BFS;31.0;2480.00
2026-08-10 20:41:23;3;1;1;BFS / BFS;34.0;2720.00
2026-08-10 20:42:42;4;1;1;BFS / BFS;21.0;1680.00
2026-08-10 20:43:12;5;1;1;BFS / A*;10.0;800.00
2026-08-10 20:44:20;6;1;1;A* / BFS;48.0;3840.00
2026-08-10 20:45:40;7;1;1;BFS / BFS;24.0;1920.00
2026-08-10 20:57:18;0;1;1;BFS / BFS;45.0;3600.00
2026-08-10 20:57:59;1;1;1;BFS / A*;19.0;1520.00
2026-08-10 20:58:41;2;1;1;A* / A*;13.0;1040.00
2026-08-10 20:59:23;3;1;1;A* / A*;6.0;480.00
2026-08-10 21:00:15;4;1;1;BFS / BFS;17.0;1360.00
2026-08-10 21:00:46;5;1;1;BFS / A*;9.0;720.00
2026-08-10 21:01:33;6;1;1;BFS / A*;12.0;960.00
2026-08-10 21:11:41;0;1;1;BFS / BFS;42.0;3360.00
2026-08-10 21:13:19;1;1;1;BFS / BFS;40.0;3200.00
2026-08-10 21:15:12;2;1;1;BFS / BFS;43.0;3440.00
2026-08-10 21:16:11;3;1;1;BFS / BFS;20.0;1600.00
2026-08-10 21:17:30;4;1;1;BFS / BFS;35.0;2800.00
2026-08-10 21:18:52;5;1;1;A* / BFS;50.0;4000.00
2026-08-10 21:19:55;6;1;1;BFS / BFS;27.0;2160.00
2026-08-10 21:20:48;7;1;1;BFS / BFS;24.0;1920.00
2026-08-10 21:21:32;8;1;1;BFS / BFS;16.0;1280.00
2026-08-10 21:22:51;9;1;1;A* / BFS;37.0;2960.00
2026-08-10 21:24:19;10;1;1;BFS / BFS;29.0;2320.00
2026-08-10 21:25:09;11;1;1;A* / BFS;37.0;2960.00
2026-08-10 21:28:09;12;1;1;BFS / BFS;17.0;1360.00
2026-08-10 21:29:56;13;1;1;BFS / BFS;72.0;5760.00
2026-08-10 21:31:43;14;1;1;BFS / Dijkstra;1.0;80.00
2026-08-11 16:37:06;0;1;3;A* / BFS;42.0;3360.00
2026-08-11 16:37:59;1;1;4;BFS / BFS;16.0;1280.00
2026-08-11 16:38:50;2;1;2;BFS / BFS;32.0;2560.00
